ID1,ID2,PercentIdentity,NumCompared,RMSD_A,NumCoordsUsed
3BK1cif,3BK2cif,99.82,549,78.278,549
3BK1cif,3BC2cif,11.82,203,61.630,203
3BK1cif,3BV6cif_C,12.24,286,90.111,286
3BK2cif,3BV6cif_C,11.97,284,69.900,284
3BECcif,3BEBcif,100.00,340,0.448,340
3BV6cif_A,3BV6cif_B,100.00,353,5.931,353
